"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.12.11 2:00 AM GMT","Darlington Raceway","NASCAR iRacing Pro Series","2019","4","N/A","6","6198",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"23","114","NASCAR XFINITY Chevrolet Camaro","1455","XFINITY Series","130173","130173","Jesse Schwarz","28","95","0","Running","-05.426","0","","34.341","27.773","5","125","18","18","0","0","18","Atlantic","5676","5674","22","215","21","137","NASCAR iRacing Pro Series","100","0","18"
"24","114","NASCAR XFINITY Chevrolet Camaro","1455","XFINITY Series","151476","151476","Benjamin W. Nelson","35","33","0","Running","-05.563","0","","34.336","27.576","77","125","6","17","0","0","25","Carolina","6173","6154","23","302","23","307","NASCAR iRacing Pro Series","100","0","17"
"25","114","NASCAR XFINITY Chevrolet Camaro","1455","XFINITY Series","58691","58691","Brandon Hayse Kettelle","23","80","0","Running","-05.759","0","","34.338","27.495","36","125","8","16","0","0","22","Florida","5153","5152","22","226","22","230","NASCAR iRacing Pro Series","100","0","16"
"26","114","NASCAR XFINITY Chevrolet Camaro","1455","XFINITY Series","15903","15903","Steve Sheehan","2","6","0","Running","-05.971","0","","34.339","27.227","3","125","8","15","0","0","25","Carolina","6540","6503","23","310","23","304","NASCAR iRacing Pro Series","100","0","15"
"27","114","NASCAR XFINITY Chevrolet Camaro","1455","XFINITY Series","92727","92727","David Shutt","29","42","0","Running","-10.459","0","","34.375","27.712","77","125","12","14","0","0","26","Illinois","4924","4917","22","239","22","220","NASCAR iRacing Pro Series","100","0","14"
"28","114","NASCAR XFINITY Chevrolet Camaro","1455","XFINITY Series","167354","167354","Liam Brotherton","8","10","0","Running","-12.178","0","","34.389","27.289","2","125","14","13","0","0","23","Mid-South","6241","6200","23","355","23","305","NASCAR iRacing Pro Series","100","0","13"
"29","114","NASCAR XFINITY Chevrolet Camaro","1455","XFINITY Series","104680","104680","Nickolas Shelton","34","12","0","Running","-22.674","0","","34.374","27.345","4","125","8","12","0","0","23","Mid-South","6196","6151","22","234","22","236","NASCAR iRacing Pro Series","100","0","12"
"30","114","NASCAR XFINITY Chevrolet Camaro","1455","XFINITY Series","15564","15564","John Gorlinsky","7","21","0","Running","-41.097","1","","34.433","27.341","3","125","12","12","0","0","25","Carolina","6423","6367","23","349","23","307","NASCAR iRacing Pro Series","100","0","12"
"31","115","NASCAR XFINITY Ford Mustang","1455","XFINITY Series","16904","16904","Bryan Blackford","12","32","0","Running","-43.700","0","","34.420","27.376","3","125","30","10","0","0","22","Florida","6798","6729","22","263","21","116","NASCAR iRacing Pro Series","100","0","10"
"32","114","NASCAR XFINITY Chevrolet Camaro","1455","XFINITY Series","43417","43417","Nathan Lyon","11","47","0","Running","-2 L","1","","33.182","27.111","76","123","2","10","0","0","31","Great Plains","6777","6703","24","498","24","494","NASCAR iRacing Pro Series","100","0","10"
"33","114","NASCAR XFINITY Chevrolet Camaro","1455","XFINITY Series","126971","126971","Braden Boulos","17","01","0","Running","-6 L","0","","33.192","27.390","76","119","8","8","0","0","27","Indiana","7090","7004","22","265","22","256","NASCAR iRacing Pro Series","100","0","8"
"34","114","NASCAR XFINITY Chevrolet Camaro","1455","XFINITY Series","97243","97243","Logan Kress","25","31","32","Disconnected","-50 L","0","","34.842","28.657","8","75","4","7","0","0","12","New England","6050","5981","24","499","24","473","NASCAR iRacing Pro Series","100","0","7"
"35","114","NASCAR XFINITY Chevrolet Camaro","1455","XFINITY Series","46206","46206","Matthew Wright2","30","13","32","Disconnected","-62 L","0","","32.116","28.032","4","63","2","6","0","0","14","New York","4454","4415","21","182","22","245","NASCAR iRacing Pro Series","100","0","6"
"36","114","NASCAR XFINITY Chevrolet Camaro","1455","XFINITY Series","97082","97082","Corey A Carpenter","22","30","32","Disconnected","-69 L","0","","32.301","27.547","3","56","4","5","0","0","25","Carolina","6002","5924","23","312","23","307","NASCAR iRacing Pro Series","100","0","5"
"37","116","NASCAR XFINITY Toyota Supra","1455","XFINITY Series","87660","87660","Ethan Lane","37","26","32","Disconnected","-104 L","0","","28.978","27.535","5","21","0","4","0","0","25","Carolina","5451","5380","22","297","23","348","NASCAR iRacing Pro Series","100","0","4"
"38","116","NASCAR XFINITY Toyota Supra","1455","XFINITY Series","32765","32765","Adam Gilliland","27","8","32","Disconnected","-120 L","0","","30.065","27.643","4","5","4","3","0","0","30","Texas","6300","6205","22","220","21","155","NASCAR iRacing Pro Series","100","0","3"
